instance,folder,approach,approach_name,time_budget,workers,runtime_sec,makespan,valid,status,error
PSP1.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.4393,48,True,OK,
PSP2.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.5052,49,True,OK,
PSP3.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.5787,76,True,OK,
PSP4.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.4862,45,True,OK,
PSP5.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.4637,55,True,OK,
PSP6.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.7525,73,True,OK,
PSP7.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.418,58,True,OK,
PSP8.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.4891,67,True,OK,
PSP9.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.9246,67,True,OK,
PSP10.SCH,sm_j20,ga,Genetic Algorithm + SSGS Decoder,3.0,1,0.4525,53,True,OK,
PSP1.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0059,45,True,OK,
PSP2.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0297,46,True,OK,
PSP3.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0629,74,True,OK,
PSP4.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0186,45,True,OK,
PSP5.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0457,55,True,OK,
PSP6.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0101,71,True,OK,
PSP7.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0932,57,True,OK,
PSP8.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0344,67,True,OK,
PSP9.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0026,67,True,OK,
PSP10.SCH,sm_j20,alns,Adaptive Large Neighborhood Search + SSGS Decoder,3.0,1,3.0,53,True,OK,
